index	red ir
1078	23624	27205
1079	23654	27188
1080	23631	27258
1081	23626	27249
1082	23669	27223
1083	23675	27266
1084	23620	27291
1085	23673	27237
1086	23667	27295
1087	23644	27316
1088	23692	27248
1089	23697	27288
1090	23657	27319
1091	23653	27286
1092	23675	27263
1093	23678	27314
1094	23642	27310
1095	23682	27269
1096	23691	27325
1097	23651	27345
1098	23687	27296
1099	23685	27291
1100	23660	27338
1101	23669	27294
1102	23712	27278
1103	23674	27338
1104	23644	27337
1105	23696	27301
1106	23687	27313
1107	23673	27359
1108	23672	27320
1109	23722	27301
1110	23683	27366
1111	23674	27351
1112	23712	27330
1113	23725	27388
1114	23688	27414
1115	23726	27366
1116	23744	27381
1117	23701	27425
1118	23728	27391
1119	23735	27383
1120	23716	27430
1121	23693	27414
1122	23752	27391
1123	23735	27446
1124	23699	27456
1125	23740	27412
1126	23733	27437
1127	23722	27479
1128	23714	27448
1129	23762	27419
1130	23775	27457
1131	23731	27485
1132	23741	27440
1133	23750	27418
1134	23750	27463
1135	23716	27482
1136	23759	27431
1137	23780	27427
1138	23734	27472
1139	23712	27474
1140	23745	27425
1141	23750	27446
1142	23748	27488
1143	23730	27469
1144	23780	27445
1145	23798	27459
1146	23740	27517
1147	23756	27477
1148	23771	27449
1149	23750	27500
1150	23726	27480
1151	23779	27438
1152	23760	27491
1153	23739	27514
1154	23776	27453
1155	23764	27479
1156	23737	27521
1157	23775	27455
1158	23817	27484
1159	23753	27525
1160	23736	27483
1161	23770	27459
1162	23769	27513
1163	23745	27500
1164	23793	27464
1165	23784	27512
1166	23743	27532
1167	23797	27469
1168	23783	27504
1169	23762	27531
1170	23778	27480
1171	23802	27484
1172	23753	27517
1173	23750	27501
1174	23772	27450
1175	23764	27502
1176	23739	27514
1177	23787	27464
1178	23806	27511
1179	23763	27541
1180	23777	27491
1181	23787	27510
1182	23773	27554
1183	23769	27521
1184	23821	27501
1185	23782	27564
1186	23763	27563
1187	23803	27531
1188	23806	27572
1189	23781	27594
1190	23779	27541
1191	23826	27510
1192	23801	27579
1193	23761	27561
1194	23779	27492
1195	23755	27481
1196	23738	27483
1197	23724	27419
1198	23759	27364
1199	23749	27346
1200	23706	27356
1201	23655	27349
1202	23706	27269
1203	23677	27261
1204	23657	27287
1205	23629	27230
1206	23671	27186
1207	23654	27222
1208	23607	27212
1209	23632	27156
1210	23642	27187
1211	23604	27184
1212	23633	27131
1213	23637	27146
1214	23623	27108
1215	23628	27150
1216	23593	27155
1217	23622	27117
1218	23619	27128
1219	23592	27155
1220	23610	27107
1221	23637	27084
1222	23591	27135
1223	23573	27102
1224	23616	27075
1225	23598	27107
1226	23554	27103
1227	23612	27053
1228	23600	27096
1229	23559	27102
1230	23570	27054
1231	23590	27021
1232	23557	27069
1233	23552	27029
1234	23598	27002
1235	23561	27060
1236	23541	27062
1237	23579	27034
1238	23577	27041
1239	23577	27046
1240	23593	27032
1241	23590	27069
1242	23593	27095
1243	23595	27048
1244	23606	27116
1245	23595	27124
1246	23555	27104
1247	23608	27087
1248	23587	27140
1249	23598	27098
1250	23628	27109
1251	23580	27140
1252	23618	27085
1253	23609	27134
1254	23578	27115
1255	23633	27085
1256	23602	27150
1257	23612	27104
1258	23609	27116
1259	23582	27151
1260	23622	27097
1261	23621	27138
1262	23574	27136
1263	23614	27090
1264	23593	27159
1265	23573	27146
1266	23634	27107
1267	23646	27127
1268	23590	27164
1269	23582	27140
1270	23614	27098
1271	23613	27177
1272	23607	27130
1273	23633	27125
1274	23606	27185
1275	23596	27179
1276	23662	27132
1277	23646	27199
1278	23596	27221
1279	23651	27182
1280	23658	27175
1281	23649	27238
1282	23644	27204
1283	23677	27188
1284	23650	27247
1285	23635	27259
1286	23675	27217
1287	23661	27239
1288	23646	27280
1289	23684	27227
1290	23701	27239
1291	23654	27290
1292	23654	27260
1293	23674	27259
1294	23663	27307
1295	23678	27261
1296	23715	27285
1297	23671	27339
1298	23681	27287
1299	23686	27272
1300	23694	27340
1301	23669	27332
1302	23728	27302
1303	23686	27365
1304	23680	27334
1305	23709	27306
1306	23704	27361
1307	23668	27375
1308	23721	27342
1309	23732	27359
1310	23691	27396
1311	23685	27391
1312	23717	27350
1313	23716	27348
1314	23697	27396
1315	23688	27378
1316	23736	27333
1317	23742	27397
1318	23691	27413
1319	23701	27387
1320	23726	27357
1321	23722	27411
1322	23717	27437
1323	23721	27404
1324	23756	27391
1325	23726	27439
1326	23702	27449
1327	23744	27416
1328	23747	27463
1329	23711	27472
1330	23762	27427
1331	23779	27440
1332	23733	27489
1333	23733	27448
1334	23750	27416
1335	23737	27488
1336	23731	27462
1337	23780	27442
1338	23786	27486
1339	23744	27518
1340	23740	27480
1341	23764	27453
1342	23756	27524
1343	23743	27493
1344	23799	27469
1345	23771	27531
1346	23735	27525
1347	23773	27497
1348	23771	27528
1349	23756	27547
1350	23789	27501
1351	23805	27540
1352	23760	27562
1353	23790	27508
1354	23772	27522
1355	23758	27563
1356	23759	27520
1357	23822	27506
1358	23781	27556
1359	23748	27570
1360	23804	27523
1361	23791	27532
1362	23786	27579
1363	23760	27551
1364	23816	27531
1365	23780	27567
1366	23756	27559
1367	23783	27515
1368	23772	27529
1369	23737	27534
1370	23768	27436
1371	23765	27457
1372	23713	27458
1373	23715	27391
1374	23707	27358
1375	23692	27381
1376	23673	27330
1377	23697	27275
1378	23660	27308
1379	23629	27284
1380	23657	27228
1381	23651	27276
1382	23616	27276
1383	23662	27225
1384	23669	27267
1385	23630	27270
1386	23614	27221
1387	23644	27186
1388	23649	27239
1389	23611	27252
1390	23650	27197
1391	23668	27188
1392	23622	27232
1393	23607	27235
1394	23649	27177
1395	23628	27181
1396	23602	27218
1397	23591	27168
1398	23634	27121
1399	23651	27148
1400	23597	27163
1401	23563	27165
1402	23602	27115
1403	23600	27123
1404	23581	27159
1405	23567	27131
1406	23614	27086
1407	23609	27133
1408	23569	27148
1409	23615	27103
1410	23601	27134
1411	23588	27169
1412	23609	27129
1413	23640	27125
1414	23603	27177
1415	23603	27133
1416	23618	27125
1417	23624	27166
1418	23585	27176
1419	23644	27128
1420	23662	27190
1421	23602	27218
1422	23637	27167
1423	23632	27173
1424	23620	27226
1425	23626	27198
1426	23662	27189
