"Data Set 1:Time(s)","Data Set 1:Force(N)","Data Set 1:Respiration Rate(bpm)","Data Set 2:Time(s)","Data Set 2:Force(N)","Data Set 2:Respiration Rate(bpm)","Data Set 3:Time(s)","Data Set 3:Force(N)","Data Set 3:Respiration Rate(bpm)","Data Set 4:Time(s)","Data Set 4:Force(N)","Data Set 4:Respiration Rate(bpm)","Data Set 5:Time(s)","Data Set 5:Force(N)","Data Set 5:Respiration Rate(bpm)"
,,,,,,,,,153.80000000000001,6.3494644165039062,,153.80000000000001,1.162811279296875,
,,,,,,,,,153.90000000000001,6.2625961303710938,,153.90000000000001,1.0682754516601562,
,,,,,,,,,154,5.9968719482421875,,154,1.0376205444335938,
,,,,,,,,,154.09999999999999,5.60595703125,,154.09999999999999,1.070831298828125,
,,,,,,,,,154.19999999999999,5.4194412231445312,,154.19999999999999,1.0657196044921875,
,,,,,,,,,154.30000000000001,5.5165328979492188,,154.30000000000001,1.06317138671875,
,,,,,,,,,154.40000000000001,5.6570587158203125,,154.40000000000001,1.0733871459960938,
,,,,,,,,,154.5,5.6442794799804688,,154.5,1.0810546875,
,,,,,,,,,154.59999999999999,5.5190887451171875,,154.59999999999999,1.09893798828125,
,,,,,,,,,154.69999999999999,5.4194412231445312,,154.69999999999999,1.1014938354492188,
,,,,,,,,,154.80000000000001,5.4168853759765625,,154.80000000000001,1.0759429931640625,
,,,,,,,,,154.90000000000001,5.3657913208007812,,154.90000000000001,1.0657196044921875,
,,,,,,,,,155,5.2405929565429688,,155,1.0682754516601562,
,,,,,,,,,155.09999999999999,5.1307296752929688,,155.09999999999999,1.1576995849609375,
,,,,,,,,,155.19999999999999,5.0796279907226562,,155.19999999999999,1.4285354614257812,
,,,,,,,,,155.30000000000001,5.0515213012695312,,155.30000000000001,1.7862319946289062,
,,,,,,,,,155.40000000000001,5.0106430053710938,,155.40000000000001,2.1413803100585938,
,,,,,,,,,155.5,4.9876480102539062,,155.5,2.468414306640625,
,,,,,,,,,155.59999999999999,5.0413055419921875,,155.59999999999999,2.7980117797851562,
,,,,,,,,,155.69999999999999,5.22015380859375,,155.69999999999999,3.1889266967773438,
,,,,,,,,,155.80000000000001,5.5114212036132812,,155.80000000000001,3.5900650024414062,
,,,,,,,,,155.90000000000001,5.9253311157226562,,155.90000000000001,3.940093994140625,
,,,,,,,,,156,6.50787353515625,,156,4.254364013671875,
,,,,,,,,,156.09999999999999,7.1747283935546875,,156.09999999999999,4.5098648071289062,
,,,,,,,,,156.19999999999999,7.8185882568359375,,156.19999999999999,4.6989364624023438,
,,,,,,,,,156.30000000000001,8.5084381103515625,,156.30000000000001,4.77813720703125,
,,,,,,,,,156.40000000000001,9.2774887084960938,,156.40000000000001,4.6733856201171875,
,,,,,,,,,156.5,9.9980010986328125,,156.5,4.4613189697265625,
,,,,,,,,,156.59999999999999,10.626533508300781,,156.59999999999999,4.2569198608398438,
,,,,,,,,,156.69999999999999,11.186080932617188,,156.69999999999999,4.0576248168945312,
,,,,,,,,,156.80000000000001,12.013900756835938,,156.80000000000001,3.8506698608398438,
,,,,,,,,,156.90000000000001,12.9285888671875,,156.90000000000001,3.5619583129882812,
,,,,,,,,,157,13.948028564453125,,157,3.1761550903320312,
,,,,,,,,,157.09999999999999,15.031349182128906,,157.09999999999999,2.7929000854492188,
,,,,,,,,,157.19999999999999,16.193878173828125,,157.19999999999999,2.4556427001953125,
,,,,,,,,,157.30000000000001,17.366622924804688,,157.30000000000001,2.2078094482421875,
,,,,,,,,,157.40000000000001,18.406505584716797,,157.40000000000001,2.01873779296875,
,,,,,,,,,157.5,19.505157470703125,,157.5,1.8501052856445312,
,,,,,,,,,157.59999999999999,20.585922241210938,,157.59999999999999,1.6891403198242188,
,,,,,,,,,157.69999999999999,21.262996673583984,,157.69999999999999,1.5460662841796875,
,,,,,,,,,157.80000000000001,21.429073333740234,,157.80000000000001,1.3902053833007812,
,,,,,,,,,157.90000000000001,21.237445831298828,,157.90000000000001,1.30078125,
,,,,,,,,,158,20.925735473632812,,158,1.2266845703125,
,,,,,,,,,158.09999999999999,20.504161834716797,,158.09999999999999,1.1653671264648438,
,,,,,,,,,158.19999999999999,20.021266937255859,,158.19999999999999,1.1117095947265625,
,,,,,,,,,158.30000000000001,19.689117431640625,,158.30000000000001,1.0222854614257812,
,,,,,,,,,158.40000000000001,19.415733337402344,,158.40000000000001,0.9481964111328125,
,,,,,,,,,158.5,18.955833435058594,,158.5,0.92264556884765625,
,,,,,,,,,158.59999999999999,18.360515594482422,,158.59999999999999,0.89453887939453125,
,,,,,,,,,158.69999999999999,17.767757415771484,,158.69999999999999,0.87154388427734375,
,,,,,,,,,158.80000000000001,17.180107116699219,,158.80000000000001,0.868988037109375,
,,,,,,,,,158.90000000000001,16.559242248535156,,158.90000000000001,0.84088134765625,
,,,,,,,,,159,15.994590759277344,,159,0.8281097412109375,
,,,,,,,,,159.09999999999999,15.524467468261719,,159.09999999999999,0.8638763427734375,
,,,,,,,,,159.19999999999999,14.998138427734375,,159.19999999999999,0.9200897216796875,
,,,,,,,,,159.30000000000001,14.354278564453125,,159.30000000000001,1.0376205444335938,
,,,,,,,,,159.40000000000001,13.605659484863281,,159.40000000000001,1.2317962646484375,
,,,,,,,,,159.5,12.823829650878906,,159.5,1.4591903686523438,
,,,,,,,,,159.59999999999999,12.003677368164062,,159.59999999999999,1.7581253051757812,
,,,,,,,,,159.69999999999999,11.14263916015625,,159.69999999999999,2.138824462890625,
,,,,,,,,,159.80000000000001,10.279052734375,,159.80000000000001,2.4914093017578125,
,,,,,,,,,159.90000000000001,9.5457687377929688,,159.90000000000001,2.8210067749023438,
,,,,,,,,,160,9.08331298828125,7.2173213958740234,160,3.1812591552734375,13.688213348388672
,,,,,,,,,160.09999999999999,8.7664947509765625,,160.09999999999999,3.5389633178710938,
,,,,,,,,,160.19999999999999,8.4650039672851562,,160.19999999999999,3.886444091796875,
,,,,,,,,,160.30000000000001,8.1072998046875,,160.30000000000001,4.2518081665039062,
,,,,,,,,,160.40000000000001,7.6908340454101562,,160.40000000000001,4.5277481079101562,
,,,,,,,,,160.5,7.2411575317382812,,160.5,4.5890655517578125,
,,,,,,,,,160.59999999999999,6.8246917724609375,,160.59999999999999,4.4485397338867188,
